"Title","Text"
"Protect the portal","The main point of the game is to [color=GOLD]protect the portal[/color]. If a creep reaches the portal it will deal damage to it. Once portal health reaches 0 the game is over. To prevent that, build towers so that they kill creeps before they reach the portal."
"Income","After finishing a wave you will gain a gold bonus called [color=GOLD]Income[/color]. This extra gold amount is made up of two components: [color=GOLD]upkeep[/color] and [color=GOLD]interest[/color]. 
 
[color=GOLD]Upkeep[/color] depends on current wave level and will increase as the game progresses.
 
[color=GOLD]Interest[/color] is equal to [color=GOLD][0.05 * current gold][/color].
 
Both [color=GOLD]upkeep[/color] and [color=GOLD]interest[/color] rates can be increased with some rare items and abilities.
 
The amount of upkeep and interest gained will be displayed on the left side of the screen after a wave."
"Item drops","Items will occasionally [color=GOLD]drop from creeps[/color] when they are killed. When this happens, the item will automatically fly from the creep to your [color=GOLD]Item Stash[/color]."
"Equip Items","To equip an item, click on an item to start moving it. Then, click on a tower to equip the item to that tower.
 
To unequip the item, select the tower, click on the item inside the tower and click again on the ground."
"Oil Items","[color=GOLD]Oil items[/color] apply permanent effects to towers and cannot be removed once applied. To apply an oil item on a tower, click on the oil and then click on a tower. The oil will disappear from the stash after it's applied."
"Consumable Items","[color=GOLD]Consumable items[/color] give bonuses to the player and disappear after use, like Oil items. Click on a Consumable Item to use it."
"Tower Positioning","Many towers have aura's which provide benefits to other towers nearby. You should try to build towers [color=GOLD]next to each other[/color] to maximize the benefits of aura's."
"Choosing Elements","A particular element can be strong or weak against a creep type. Try to choose [color=GOLD]a diverse set of elements[/color] to make sure that your defenses are can deal well with all types of creeps."
"Game Modes","YouTD can be played in three game modes:\n \n[color=GOLD]Build Mode[/color]. Build towers and upgrade them. This mode is most similar to other Tower Defense games. It's recommended to play this mode only to learn the game because random modes are more fun.\n \n[color=GOLD]Random with upgrade[/color]. You receive random towers after each wave, based on the elements that you have researched. Note that all towers you receive will be from the first tier and need to be upgraded. You can replace towers to carry over permanent bonuses.\n \n[color=GOLD]Totally random[/color]. You receive totally random towers. Towers cannot be upgraded but you can replace towers to carry over permanent bonuses."
"Tower Stats","Towers in YouTD have some uncommon stats. Their mechanics will be explained here:\n\nBuff duration: Modifies the duration of buffs cast by this tower. For example, if a tower has a buff with 6 sec duration and it has 200% buff duration, the buff will last 12 sec.\n\nDebuff duration: Same as Buff duration but affects the duration of debuffs.\n\nTrigger Chances: Modifies the chances of chanced abilities. Example: Tower has a 20% chance to do something on kill and has 200% trigger chances => 40% chance.\n\nItem drop ratio: Creeps killed by this tower have a modified chance to drop an item. Example: Creep killed by a tower with 200% item drop ratio => doubled chance to drop item\n\nItem quality ratio: Creeps killed by this tower have a modified chance to get uncommon, rare and unique items. Example: Creep killed by a tower with 200% item quality ratio => doubled chance for uncommon, rare and unique items (if one drops)\n\nBounty ratio: Modifies the amount of bounty received for kills done by this tower."
