"id","Title","Text"
1,"Tutorial intro for random mode","Welcome to [color=GOLD]YouTD2[/color]! This is the tutorial window. It will sometimes popup to teach you about the game.
 
You can always reread the tutorials in the [color=GOLD]Hints[/color] menu. You can open the [color=GOLD]Hints[/color] menu by pausing the game with the [color=GOLD]Escape[/color] button."
2,"Tutorial intro for build mode","Welcome to YouTD2! This is the tutorial window.
 
You have selected [color=GOLD]Build[/color] mode which doesn't have a dedicated tutorial. Restart the game and select [color=GOLD]Random[/color] mode to do the tutorial."
3,"Research Elements","[center][img]res://Assets/tutorial_pictures/research_element.png[/img][/center]
 
Before you can start building towers, you need to research elements. You can research elements in the [color=GOLD]Elements menu[/color].
 
Researching elements unlocks more powerful towers."
4,"Roll towers","[center][img]res://Assets/tutorial_pictures/roll_towers.png[/img][/center]
 
After you have researched some elements, press on the [color=GOLD]roll towers[/color] button. This will add a random set of towers to the [color=GOLD]Tower Stash[/color]."
5,"Tower Stash","[center][img]res://Assets/tutorial_pictures/tower_stash.png[/img][/center]
 
After rolling towers, you will see new towers appear in the [color=GOLD]Tower Stash[/color]. [color=GOLD]Tower Stash[/color] is the storage for all of the towers you have. You can mouse over a tower to learn more about it."
6,"Build a tower","[center][img]res://Assets/tutorial_pictures/build_tower.png[/img][/center]
 
To [color=GOLD]build a tower[/color], press on a tower in the tower stash. Then move your mouse to the game world and press on where you want to build. The tower cursor will turn green when your mouse over a valid build position.
 
Note that building a tower removes it from the [color=GOLD]Tower stash[/color]. If you have multiple towers in a stack, then the stack count is decreased.
"
7,"Resources","[center][img]res://Assets/tutorial_pictures/resource_panel.png[/img][/center]
 
Building a tower costs [color=GOLD]resources[/color]. You can see your current [color=GOLD]resources[/color] at the bottom of the screen. Mouse over them to learn more.
"
8,"Tower Info","[center][img]res://Assets/tutorial_pictures/tower_info.png[/img][/center]
 
After building a tower, try clicking on it. This will open the tower menu where you can learn more about what the tower does.
 
Mouse over tower abilities to learn more about them.
"
9,"Items","[center][img]res://Assets/tutorial_pictures/item_drop.png[/img][/center]
 
An item dropped! Creeps sometimes drop items. You can see the items you have in the [color=GOLD]Item Stash[/color].
 
Items empower towers and provide other bonuses. Check out [color=GOLD]Hints[/color] for more info about items and how to use them.
"
10,"Portal damage","[center][img]res://Assets/tutorial_pictures/portal_damage.png[/img][/center]
 
Portal was damaged! If you fail to defeat creeps before they reach the portal, the portal will take damage. You can see your current portal lives in [color=GOLD]Wave Status[/color]. When lives reach 0% it's game over!"
11,"Wave finish","[center][img]res://Assets/tutorial_pictures/wave_finish.png[/img][/center]
 
You have finished a wave! Finishing a wave grants multiple rewards:
 
You get new random towers. Check your [color=GOLD]Tower stash[/color]!
 
You get a gold bonus called [color=GOLD]Income[/color].
 
You get new [color=GOLD]Knowledge tomes[/color], which are used for researching elements."
