tower_id,name,radius,targets_creeps,affected_by_farseer
3,Aura 1,200,FALSE,TRUE
4,Soul Revenge,875,TRUE,FALSE
6,Soul Revenge,875,TRUE,FALSE
7,Soul Revenge,875,TRUE,FALSE
8,Soul Revenge,875,TRUE,FALSE
23,Aura 1,240,FALSE,TRUE
31,Alert,500,FALSE,FALSE
32,Alert,500,FALSE,FALSE
33,Alert,500,FALSE,FALSE
36,Monolith of Chaos,750,TRUE,FALSE
37,Aura 1,600,FALSE,TRUE
38,Aura 1,1000,TRUE,TRUE
38,Cloudy Thunderstorm,1000,TRUE,FALSE
46,Aura 1,750,TRUE,TRUE
47,Aura 1,150,FALSE,TRUE
48,Quillspray,800,TRUE,FALSE
54,Electric Field,1000,TRUE,FALSE
64,Quillspray,800,TRUE,FALSE
65,Quillspray,800,TRUE,FALSE
66,Shamanic Totem,500,FALSE,FALSE
66,Fighter Totem,500,FALSE,FALSE
70,Roar,420,FALSE,FALSE
71,Aura 1,800,TRUE,TRUE
72,Aura 1,1100,TRUE,TRUE
73,Roar,420,FALSE,FALSE
74,Roar,420,FALSE,FALSE
75,Roar,420,FALSE,FALSE
76,Roar,420,FALSE,FALSE
77,Extreme Cold,900,TRUE,FALSE
78,Extreme Cold,900,TRUE,FALSE
79,Extreme Cold,900,TRUE,FALSE
83,Wind Shear,300,FALSE,FALSE
84,Aura 1,300,FALSE,TRUE
85,Aura 1,300,FALSE,TRUE
86,Aura 1,300,FALSE,TRUE
87,Wind Shear,300,FALSE,FALSE
88,Wind Shear,300,FALSE,FALSE
89,Wind Shear,300,FALSE,FALSE
90,Wind Shear,300,FALSE,FALSE
94,Snake Charm,200,FALSE,FALSE
95,Snake Charm,200,FALSE,FALSE
96,Snake Charm,200,FALSE,FALSE
97,Snake Charm,200,FALSE,FALSE
98,Ice Claw,850,FALSE,FALSE
99,Jolt,500,FALSE,FALSE
100,Aura 1,500,FALSE,TRUE
101,Aura 1,350,FALSE,TRUE
101,Curse of the Silent,800,TRUE,FALSE
103,Ice Claw,850,FALSE,FALSE
104,Ice Claw,850,FALSE,FALSE
105,Ice Claw,850,FALSE,FALSE
106,Ice Claw,850,FALSE,FALSE
112,Aura 1,250,FALSE,TRUE
114,Maledict,800,TRUE,FALSE
115,Aura 1,650,FALSE,TRUE
115,Magical Barrage,650,FALSE,FALSE
116,Aura 1,650,FALSE,TRUE
116,Magical Barrage,650,FALSE,FALSE
123,Energy Absorb,1000,FALSE,FALSE
124,Energy Absorb,1000,FALSE,FALSE
130,Aura 1,800,FALSE,TRUE
130,Freezing Gust,800,FALSE,FALSE
131,Magic Boost,350,FALSE,FALSE
132,Shadowbolt Wave,1000,TRUE,FALSE
133,Aura 1,750,TRUE,TRUE
133,Shadowbolt Wave,1000,TRUE,FALSE
139,Flaming Inferno,950,TRUE,FALSE
141,Sentry,800,TRUE,FALSE
145,Sparks,500,FALSE,FALSE
146,Sparks,500,FALSE,FALSE
158,Aura 1,280,FALSE,TRUE
165,Corpse Explosion,1000,TRUE,FALSE
167,Aura 1,350,FALSE,TRUE
170,Aura 1,400,FALSE,TRUE
171,Corpse Explosion,1000,TRUE,FALSE
172,Corpse Explosion,1000,TRUE,FALSE
173,Corpse Explosion,1000,TRUE,FALSE
177,Jolt,500,FALSE,FALSE
178,Jolt,500,FALSE,FALSE
190,Energy Aura,900,TRUE,FALSE
191,Energy Aura,900,TRUE,FALSE
199,Thunderstorm,1000,TRUE,FALSE
200,Crush!,500,FALSE,FALSE
203,Aura 1,900,TRUE,TRUE
