Title,Highlight UI,Advance action,Text
Welcome,,,Welcome to YouTD2! In this game you will defend against waves of creeps by building towers.
Tower Stash,tower_stash_button,press_tower_stash_button,Towers you can build will appear in the [color=GOLD]tower stash[/color]. Towers can be unlocked by meeting the requirements.
Elements,elements_container,change_tower_stash_tab,"Tower stash is separated into sections with one section per element. To switch to a different element, press on one of the [color=GOLD]element buttons[/color]."
Research Elements,upgrade_element_button,press_upgrade_element_button,"Before you can start building towers, you need to research your starting elements. To research an element, press [color=GOLD]upgrade[/color] button."
Element levels,element_level,element_level_hovered,Each element has a research level. Researching the same element multiple times will unlock more powerful towers.
Unlocking towers,tower_button,,Researching an element unlocks towers for that element in the tower stash. You can research other elements to unlock more towers.
Knowledge tomes,tomes_status,mouse_over_tomes,Note that you need to spend [color=GOLD]knowledge tomes[/color] to research elements. At the start of the game you have enough tomes to research 4 times. You can obtain more knowledge tomes by completing waves.
Build a tower,tower_button,build_tower,"To [color=GOLD]build a tower[/color], press on a tower in the tower stash. Then move your mouse to the game world and press on where you want to build. Building zone is highlighted with blue."
Gold,gold_status,mouse_over_gold,Building towers costs [color=GOLD]gold[/color]! You can obtain gold by defeating creeps.
Item stash,item_stash_button,mouse_over_item_stash,"In this game, you can power up your towers with items and oils which are dropped from creeps. They will appear in the [color=GOLD]inventory[/color]."
Moving items,item_stash,place_item_in_tower,You have a starting pack of 1 item and 1 oil in your inventory. Try to use them on your built tower.
Horadric Cube,horadric_cube,mouse_over_horadric_menu,"When you have too much items, you can merge them together in the [color=GOLD]Horadric Cube[/color]. There are 4 possible recipes how you can use the cube."
More Hints,,,You can find more hints about the game in the [color=GOLD]pause menu[/color]. Press [color=GOLD]Esc[/color] to pause the game (after the tutorial is over).
The end,,,The tutorial is over. The game will start once you close this window. Good luck!
