id,tooltip,icon
0,"Advanced Fortune
 
Increases trigger changes of all towers by [color=GOLD]10%[/color]",res://Resources/Textures/Buffs/letter_omega_shiny.tres
1,"Element Mastery
 
Increases starting force points by [color=GOLD]40[/color].",res://Resources/Textures/Buffs/letter_s_lying_down.tres
2,"Swiftness Mastery
 
Increases attack speed of all towers by [color=GOLD]8%[/color].",res://Resources/Textures/Buffs/running_man.tres
3,"Combat Mastery
 
Increases base attack damage of all towers by [color=GOLD]8%[/color].",res://Resources/Textures/Buffs/hammer_swing.tres
4,"Mastery of Pain
 
Increases attack and spell critical strike chance of all towers by [color=GOLD]4%[/color].",res://Resources/Textures/Buffs/letter_h.tres
5,"Advanced Sorcery
 
Increases spell damage of all towers by [color=GOLD]10%[/color].",res://Resources/Textures/Buffs/orb_sparkly.tres
6,"Mastery of Magic
 
Increases mana pool and regeneration of all towers by [color=GOLD]20%[/color].",res://Resources/Textures/Buffs/orb_triple.tres
7,"Mastery of Logistics
 
Increases food limit by [color=GOLD]16[/color].",res://Resources/Textures/Buffs/meat.tres
8,"Loot Mastery
 
Increases item find chance of all towers by [color=GOLD]12%[/color].",res://Resources/Textures/Buffs/goldbar.tres
9,"Advanced Wisdom
 
Increases experience gain of all towers by [color=GOLD]20%[/color].",res://Resources/Textures/Buffs/beard.tres
