name,row_count,col_count,sprite_count,offset_x,offset_y
death_E,7,4,28,0.01123595517129,0.02873563207686
death_N,7,4,28,0.03983516618609,0.02857142873108
death_S,7,4,28,-0.03983516618609,0.02562111802399
death_W,7,4,28,-0.01256983261555,0.01769911497831
floating_E,4,4,13,-0.0166666675359,0.01304347813129
floating_N,4,4,13,0.02522935718298,0.00409836042672
floating_S,4,4,13,-0.02752293646336,0
floating_W,4,4,13,0.01415094360709,-0.01127819530666
run_E,2,4,7,-0.00862068962306,0.17619048058987
run_N,2,4,7,0.04330708831549,0.10483870655298
run_S,2,4,7,-0.04527559131384,0.09523809701204
run_W,2,4,7,0.00862068962306,0.0443548373878
slow_run_E,3,4,11,0.02884615398943,0.09278350323439
slow_run_N,3,4,11,0.0619469024241,0.05309734493494
slow_run_S,3,4,11,-0.06415928900242,0.09677419066429
slow_run_W,3,4,11,-0.02884615398943,0.0343915335834
stunned_E,4,4,16,0.01530612260103,0.06538461893797
stunned_N,4,4,16,0.04752065986395,0.03813559189439
stunned_S,4,4,16,-0.04958677664399,0.05445544421673
stunned_W,4,4,16,-0.01530612260103,0.03899082541466
