"Title English","Title","Text"
"Speed","Z4S1","PUOE"
"Greater Speed","QDDQ","H4ZU"
"Xtreme Speed","VR83","HAC3"
"Slow","0OJK","CFVO"
"Strong","DKP4","6RME"
"Rich","LQ4E","EOQQ"
"Relic Raider","FYQ0","X79J"
"Ultra Wisdom","KGXE","NG49"
"Armored","LTN2","RMVG"
"Heavy Armored","4U2J","TKF9"
"Xtreme Armor","BKNH","YBGJ"
"Evasion","KWYF","I2AS"
"Xtreme Evasion","BMCE","UVBG"
"Ghost","X810","D7VR"
"Spell Resistance","TVP7","ZRSG"
"Greater Spell Resistance","75BM","3J3H"
"Magic Immunity","A65S","BIBQ"
"Ethereal","9CZH","2INL"
"Slow Aura","YECG","S59I"
"Mana Drain Aura","93LW","RY9O"
"Spellbinder","E0AD","TV6K"
"Stun Revenge","50I1","CJ17"
"Regeneration","UWXG","KSH8"
"Xtreme Regeneration","QMRH","CTCE"
"Second Chance","Y0VF","3K6C"
"Semi-Mechanical","HIHB","KA2W"
"Mechanical","7HYR","ACUS"
"Meaty","I9SK","SIQM"
"Evolving","HWF3","6TXG"
"Unlucky","EJWU","QQLY"
"Flock","MUGE","ZQ56"
"Protector","GCZ3","5NSZ"
"Manashield","ZJP2","8HSS"
"Manashield+","3N95","YFLA"
"Purge Revenge","JFM5","BJ6B"
"Dart","4UHS","IAW4"
"Necromancer","X7NZ","M206"
"Gravid","B8YY","JRM2"
