"Title English","Title","Text"
"Tutorial intro for random mode","LF36","294U"
"Tutorial intro for build mode","0NNW","FIJK"
"Research Elements","1BOW","FTNN"
"Roll towers","67KG","KI8B"
"Tower Stash","HDCP","2RYT"
"Build a tower","UH5S","OONE"
"Resources","0MRM","QETK"
"Tower Info","Q1F1","0BC9"
"Items","FYWE","DRLX"
"Tower levels","88YG","NCLA"
"Portal damage","FJOB","AZYT"
"Wave finish","ENNR","141E"
"Challenge wave","8CCS","49AV"
"Upgrading towers","FITA","LL83"
"Transforming towers","CAIK","HZB1"
