"id","name english","script name","type","author","rarity","cost","required wave level","specials","ability list","aura list","autocast list","script path","icon","name","description"
1,"Artifact of Skadi","Item1","regular","Boekie","unique",1000,28,,,"89",,"res://src/items/item_behaviors/artifact_of_skadi.gd","res://resources/icons/furniture/artifact_of_skadi.tres","GDNN","A5EN"
2,"Claws of Attack","Item2","regular","Boekie","common",632,46,"MOD_DAMAGE_ADD_PERC,0.25,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/daggers/dagger_03.tres","V6EL","L1MX"
3,"Vulshok's Claws","Item3","regular","Boekie","uncommon",1031,59,"MOD_ATTACKSPEED,0.15,0.004",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/tower_icons/vulshok_the_berserker.tres","YJDZ","CP7W"
4,"Dragon's Heart","Item4","regular","Boekie","uncommon",1268,74,"MOD_ATK_CRIT_CHANCE,0.1,0|MOD_ATK_CRIT_DAMAGE,0.075,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/animals/dragon_01.tres","P0UX","MXKN"
5,"Archer's Hood","Item5","regular","Boekie","uncommon",779,43,"MOD_ATTACKSPEED,0.15,0|MOD_DAMAGE_ADD_PERC,-0.1,0|MOD_TRIGGER_CHANCES,0.1,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/tower_icons/forest_archer.tres","EHN2","U56W"
6,"Wizard Staff","Item6","regular","Boekie","uncommon",873,49,"MOD_MANA_PERC,0.5,0.01",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/staves/staff_06.tres","57IQ","5V66"
7,"Heavy Gun","Item7","regular","Boekie","uncommon",981,56,"MOD_DMG_TO_MASS,0.1,0|MOD_ATTACKSPEED,-0.25,0|MOD_DAMAGE_ADD_PERC,0.75,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/cannons/cannon_06.tres","ZHDZ","3BET"
8,"Enchanted Mining Pick","Item8","regular","Boekie","rare",1090,44,"MOD_DAMAGE_ADD_PERC,-0.175,0|MOD_SPELL_DAMAGE_DEALT,-0.175,0|MOD_ITEM_CHANCE_ON_KILL,0.55,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/weapons_misc/mining_pick_02.tres","N8BY","8Z7L"
9,"Backpack","Item9","regular","Boekie","unique",150,0,,,,"161","res://src/items/item_behaviors/backpack.gd","res://resources/icons/hud/item_stash.tres","LJVT","2ROI"
10,"Cursed Claw","Item10","regular","Boekie","rare",800,31,,"613",,,"res://src/items/item_behaviors/cursed_claw.gd","res://resources/icons/trinkets/claw_02.tres","VE3B","SI2Y"
11,"Land Mine","Item11","regular","Boekie","common",275,18,"MOD_DMG_TO_AIR,-0.25,0|MOD_DAMAGE_ADD_PERC,0.2,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/clubs/club_04_without_handle.tres","L9OD","C8PA"
12,"Magical Essence","Item12","regular","Boekie","common",452,32,"MOD_MANA_PERC,0.2,0|MOD_MANA_REGEN_PERC,0.2,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/potions/potion_05.tres","ODOO","GGDF"
13,"Stasis Trap","Item13","regular","Boekie","unique",200,2,,"614",,,"res://src/items/item_behaviors/stasis_trap.gd","res://resources/icons/mechanical/circuit_board.tres","0WHK","33NT"
14,"Fist of Doom","Item14","regular","Boekie","rare",536,19,"MOD_DAMAGE_ADD_PERC,0.4,0|MOD_SPELL_DAMAGE_DEALT,0.4,0","615",,,"res://src/items/item_behaviors/fist_of_doom.gd","res://resources/icons/helmets/helmet_06.tres","50MS","70R9"
15,"Outworn Spell Book","Item15","regular","Boekie","common",197,11,"MOD_SPELL_CRIT_CHANCE,0.03,0|MOD_SPELL_CRIT_DAMAGE,0.1,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/dioramas/book_display.tres","R3CD","J8W8"
16,"Ninja Glaive","Item16","regular","Boekie","common",390,27,"MOD_DMG_TO_BOSS,0.35,0|MOD_ATK_CRIT_CHANCE,0.025,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/daggers/dagger_04.tres","OUD1","448I"
17,"Cruel Torch","Item17","regular","Boekie","unique",1100,31,,,"90",,"res://src/items/item_behaviors/cruel_torch.gd","res://resources/icons/fire/torch.tres","407N","0F2E"
18,"Enchanted Knives","Item18","regular","Boekie","unique",2500,76,"MOD_ATTACKSPEED,-0.5,0","616",,,"res://src/items/item_behaviors/enchanted_knives.gd","res://resources/icons/daggers/dagger_02.tres","ILAQ","KFLV"
19,"Survival Kit","Item19","regular","Boekie","uncommon",303,14,"MOD_EXP_RECEIVED,0.05,0|MOD_BOUNTY_RECEIVED,0.05,0|MOD_ITEM_CHANCE_ON_KILL,0.05,0|MOD_ITEM_QUALITY_ON_KILL,0.05,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/food/beer_02.tres","885F","4AKZ"
20,"Combat Gloves","Item20","regular","Boekie","uncommon",624,34,"MOD_DMG_TO_UNDEAD,0.4,0.008|MOD_DMG_TO_ORC,0.4,0.008",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/gloves/gloves_03.tres","EZ2J","UQWF"
21,"Orc War Spear","Item21","regular","Boekie","common",486,34,"MOD_DAMAGE_ADD_PERC,0.15,0|MOD_ATK_CRIT_DAMAGE,0.2,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/spears/spear_02.tres","0TQD","6QNA"
22,"Divine Shield","Item22","regular","Boekie","rare",992,40,"MOD_DEBUFF_DURATION,-0.45,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/shields/shield_white.tres","9V0L","CQZO"
23,"Love Potion","Item23","regular","Boekie","rare",1333,55,"MOD_BUFF_DURATION,0.5,0.004",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/potions/potion_heart_01.tres","7D9F","A36C"
24,"Moonsilver Circlet","Item24","regular","Majildian","uncommon",1401,82,"MOD_SPELL_DAMAGE_DEALT,0.2,0|MOD_SPELL_CRIT_DAMAGE,1,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/helmets/crown_03.tres","KP2I","U7LK"
25,"Crystal Staff","Item25","regular","Neotopia","uncommon",961,55,"MOD_DMG_TO_UNDEAD,0.25,0.01|MOD_SPELL_DAMAGE_DEALT,0.2,0.006",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/staves/staff_05.tres","DW8H","UA2U"
26,"Lightning Boots","Item26","regular","Boekie","uncommon",572,31,"MOD_ATTACKSPEED,0.3,0.004|MOD_MULTICRIT_COUNT,-1,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/armor/lightning_boot.tres","ELY8","H7FM"
27,"Claws of the Bear","Item27","regular","drol","uncommon",540,29,"MOD_DAMAGE_ADD_PERC,0.15,0|MOD_MANA_PERC,0.15,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/weapons_misc/barbed_spike.tres","B4VY","2NY2"
28,"Ceremonial Skull","Item28","regular","Boekie","uncommon",265,12,"MOD_ATTACKSPEED,-0.15,0|MOD_SPELL_DAMAGE_DEALT,0.4,0.005",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/undead/skull_06.tres","S9RG","6IEH"
29,"Scroll of Myths","Item29","regular","Boekie","common",293,19,"MOD_MANA_REGEN_PERC,0.3,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/scrolls/scroll_04.tres","8XXD","1SML"
30,"Tome of Shadow Magic","Item30","regular","drol","uncommon",257,11,"MOD_DMG_TO_UNDEAD,-0.05,0|MOD_BUFF_DURATION,0.2,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/books/book_11.tres","9ES8","FASD"
31,"Zombie Hand","Item31","regular","Majildian","uncommon",1047,60,"MOD_MANA_PERC,0.4,0|MOD_MANA_REGEN_PERC,-0.3,0|MOD_BUFF_DURATION,0.4,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/gloves/gloves_06.tres","MY6Y","VWMA"
32,"Phoenix Egg","Item32","regular","drol","rare",1656,69,"MOD_SPELL_DAMAGE_DEALT,0.2,0|MOD_BUFF_DURATION,0.4,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/gems/gem_07.tres","WJIJ","YLN5"
33,"Bomb Shells","Item33","regular","Neotopia","common",452,32,"MOD_DMG_TO_MASS,0.5,0|MOD_ATTACKSPEED,0.05,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/misc/balls_02.tres","VDT8","Z3ZF"
34,"Hand of Ruin","Item34","regular","drol","uncommon",293,14,"MOD_DMG_TO_NATURE,0.2,0|MOD_DMG_TO_ORC,0.2,0|MOD_DMG_TO_HUMANOID,0.2,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/masks/mask_04.tres","YYR3","0I0D"
35,"Bonk's Face","Item35","regular","drol","unique",800,21,"MOD_DMG_TO_MASS,0.25,0","617",,,"res://src/items/item_behaviors/bonks_face.gd","res://resources/icons/tower_variations/bonk_the_living_mountain_small.tres","Q1CV","MPHM"
36,"Magic Branch","Item36","regular","Boekie","common",517,37,"MOD_ATTACKSPEED,0.05,0|MOD_SPELL_DAMAGE_DEALT,0.15,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/plants/branch_02.tres","0HPR","7ZH0"
37,"Mini Sheep","Item37","regular","Boekie","common",517,37,"MOD_DMG_TO_NATURE,0.25,0|MOD_TRIGGER_CHANCES,0.125,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/animals/cow.tres","MK5Z","Q0B9"
38,"Pirate Map","Item38","regular","Boekie","common",729,54,"MOD_BOUNTY_RECEIVED,0.3,0|MOD_ITEM_CHANCE_ON_KILL,0.1,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/books/note_01.tres","9LEE","SR0B"
39,"Piece of Meat","Item39","regular","Boekie","common",567,41,"MOD_DMG_TO_NORMAL,0.1,0|MOD_DAMAGE_ADD_PERC,0.2,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/scrolls/scroll_01.tres","3HPC","0ZCZ"
40,"Gargoyle Wing","Item40","regular","Boekie","common",640,47,"MOD_DMG_TO_AIR,1,0.01",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/animals/bat_03.tres","XQVP","MFWG"
41,"Ancient Figurine","Item41","regular","drol","uncommon",1161,67,"MOD_MANA_PERC,0.25,0|MOD_MANA_REGEN_PERC,0.5,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/statues/statue_dwarf_02.tres","W674","7ODQ"
42,"Sleeve of Rage","Item42","regular","SirCoqaLot.","unique",2000,60,,"618",,,"res://src/items/item_behaviors/sleeve_of_rage.gd","res://resources/icons/fire/burning_cloth.tres","OPRW","PGZO"
43,"Wine of Aluqah","Item43","regular","SymphonyX","uncommon",585,32,"MOD_ATTACKSPEED,-0.15,0|MOD_DAMAGE_ADD_PERC,0.5,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/potions/beaker_02.tres","4NAS","LH6M"
44,"Mask of Sanity","Item44","regular","SymphonyX","uncommon",656,36,"MOD_DMG_TO_NORMAL,0.2,0|MOD_DMG_TO_CHAMPION,0.1,0|MOD_DMG_TO_AIR,-0.25,0|MOD_ATTACKSPEED,0.1,0.0025",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/masks/mask_02.tres","JEQ5","RIEH"
45,"Excalibur","Item45","regular","SymphonyX","unique",1405,40,"MOD_ATTACKSPEED,-0.05,0|MOD_ATK_CRIT_CHANCE,0.1,0|MOD_ATK_CRIT_DAMAGE,0.1,0","619",,,"res://src/items/item_behaviors/excalibur.gd","res://resources/icons/swords/greatsword_02.tres","C6MS","74BN"
46,"Minds Key","Item46","regular","Neotopia","uncommon",1225,71,"MOD_SPELL_CRIT_CHANCE,0.025,0.001|MOD_TRIGGER_CHANCES,0.15,0.006",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/scrolls/scroll_02.tres","GR7L","RNQ6"
47,"Mana Shell","Item47","regular","drol","common",154,8,"MOD_MANA_PERC,0.195,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/magic/lock_02.tres","IA26","BKJB"
48,"Lucky Dice","Item48","regular","Majildian","rare",1867,78,"MOD_ATK_CRIT_CHANCE,0.025,0.002|MOD_SPELL_CRIT_CHANCE,0.025,0.002|MOD_ITEM_CHANCE_ON_KILL,0.05,0.004|MOD_TRIGGER_CHANCES,0.025,0.002",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/hud/dice.tres","FH4X","3LA8"
49,"Scepter of the Lunar Light","Item49","regular","drol","rare",1708,71,"MOD_DMG_TO_MAGIC,0.5,0|MOD_SPELL_CRIT_CHANCE,0.12,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/staves/wand_02.tres","0URL","7VEA"
50,"Magic Hammer","Item50","regular","F12ight","rare",150,2,,"620",,,"res://src/items/item_behaviors/magic_hammer.gd","res://resources/icons/blunt_weapons/hammer_03.tres","TMBN","FNMM"
51,"Battle Suit","Item51","regular","Boekie","uncommon",617,33,"MOD_ATTACKSPEED,0,0.006|MOD_DAMAGE_ADD_PERC,0,0.01",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/helmets/helmet_08.tres","ZZ5Y","8K35"
