"keys","en","cn"
"A5EN","This old artifact that belongs to the goddess of winter slows all creeps that come close.","This old artifact that belongs to the goddess of winter slows all creeps that come close."
"L1MX","Increases attack damage.","Increases attack damage."
"CP7W","This weapon belongs to Vulshok, the ultimate warrior.","This weapon belongs to Vulshok, the ultimate warrior."
"MXKN","This heart of an ancient dragon increases crit chance and damage.","This heart of an ancient dragon increases crit chance and damage."
"U56W","This archer equipment boosts agility and speed but decreases pure damage.","This archer equipment boosts agility and speed but decreases pure damage."
"5V66","This magical staff increases the mana capacity of the tower.","This magical staff increases the mana capacity of the tower."
"3BET","This heavy gun is slow to use but it packs an enormous punch.","This heavy gun is slow to use but it packs an enormous punch."
"8Z7L","This mining pick is excellent at finding items but it's not a very good combat weapon.","This mining pick is excellent at finding items but it's not a very good combat weapon."
"2ROI","Sometimes a useful item is found in this backpack.","Sometimes a useful item is found in this backpack."
"SI2Y","This cursed artifact slows attacked creeps.","This cursed artifact slows attacked creeps."
"C8PA","This brutal weapon increases damage but is not very effective against air units.","This brutal weapon increases damage but is not very effective against air units."
"GGDF","This essence is used by the night elves to increase their mana.","This essence is used by the night elves to increase their mana."
"33NT","This trap is used by the orcs to stun their enemies. It's not very reliable though.","This trap is used by the orcs to stun their enemies. It's not very reliable though."
"70R9","This item grants the user enormous demonic powers but at a great cost.","This item grants the user enormous demonic powers but at a great cost."
"J8W8","A lot of ancient spells were explained in this book but almost everything is gone now.","A lot of ancient spells were explained in this book but almost everything is gone now."
"448I","An item used by ninjas to silently kill enemies.","An item used by ninjas to silently kill enemies."
"0F2E","This serpentine staff ignites a burning rage within all who bear its glow.","This serpentine staff ignites a burning rage within all who bear its glow."
"KFLV","These knives were used by a famous night elf ranger. They can attack multiple units at once.","These knives were used by a famous night elf ranger. They can attack multiple units at once."
"4AKZ","This kit contains everything you need to survive in the wilderness.","This kit contains everything you need to survive in the wilderness."
"UQWF","These gloves are used by the most famous human warriors.","These gloves are used by the most famous human warriors."
"6QNA","This spear is used by barbaric orc warriors.","This spear is used by barbaric orc warriors."
"CQZO","This divine shield protects the user from hazardous spells.","This divine shield protects the user from hazardous spells."
"A36C","This potion was made by a witch, it enhances the magic powers of the user.","This potion was made by a witch, it enhances the magic powers of the user."
"U7LK","This circlet has a powerful magic focusing gem in it.","This circlet has a powerful magic focusing gem in it."
"UA2U","The Crystal Staff of an old wizard. Commonly used to bash undead.","The Crystal Staff of an old wizard. Commonly used to bash undead."
"H7FM","These boots make you super fast, maybe even too fast.","These boots make you super fast, maybe even too fast."
"2NY2","These claws contain not only the strength of the bear, but also its wisdom.","These claws contain not only the strength of the bear, but also its wisdom."
