"name english","tier","id","family id","author","rarity","element","attack enabled","attack type","attack range","attack cd","dmg min","dmg max","mana","mana regen","cost","missile speed","missile arc","missile uses lightning visual","attack_target_type","multishot","splash attack","bounce attack","specials","ability list","aura list","autocast list","script path","icon path","sprite path","name","description"
"Tiny Shrub",1,1,1,"gex","common","nature","TRUE","physical",800,0.9,26,26,0,0,30,1500,0,"FALSE","CREEPS",,,,"MOD_ATK_CRIT_CHANCE,0.0075,0.002|MOD_ATK_CRIT_DAMAGE,0,0",,,,"res://src/towers/tower_behaviors/tiny_shrub.gd","res://resources/icons/tower_icons/tiny_shrub.tres","res://src/towers/tower_sprites/tiny_shrub_1.tscn","32LD","OKJ6"
"Shrub",2,439,1,"gex","common","nature","TRUE","physical",840,0.9,113,113,0,0,140,1500,0,"FALSE","CREEPS",,,,"MOD_ATK_CRIT_CHANCE,0.0275,0.003|MOD_ATK_CRIT_DAMAGE,0.15,0.03",,,,"res://src/towers/tower_behaviors/tiny_shrub.gd","res://resources/icons/tower_icons/tiny_shrub.tres","res://src/towers/tower_sprites/tiny_shrub_2.tscn","ZNJU","XNNL"
"Greater Shrub",3,459,1,"gex","common","nature","TRUE","physical",880,0.9,299,299,0,0,400,1500,0,"FALSE","CREEPS",,,,"MOD_ATK_CRIT_CHANCE,0.0375,0.004|MOD_ATK_CRIT_DAMAGE,0.25,0.04",,,,"res://src/towers/tower_behaviors/tiny_shrub.gd","res://resources/icons/tower_icons/tiny_shrub.tres","res://src/towers/tower_sprites/tiny_shrub_3.tscn","WHCM","ELDC"
"Shrubfield",4,511,1,"gex","common","nature","TRUE","physical",920,0.9,552,552,0,0,800,1500,0,"FALSE","CREEPS",,,,"MOD_ATK_CRIT_CHANCE,0.0575,0.005|MOD_ATK_CRIT_DAMAGE,0.45,0.05",,,,"res://src/towers/tower_behaviors/tiny_shrub.gd","res://resources/icons/tower_icons/tiny_shrub.tres","res://src/towers/tower_sprites/tiny_shrub_4.tscn","B5OL","ERN0"
"Greater Shrubfield",5,542,1,"gex","common","nature","TRUE","physical",960,0.9,901,901,0,0,1400,1500,0,"FALSE","CREEPS",,,,"MOD_ATK_CRIT_CHANCE,0.0675,0.006|MOD_ATK_CRIT_DAMAGE,0.55,0.06",,,,"res://src/towers/tower_behaviors/tiny_shrub.gd","res://resources/icons/tower_icons/tiny_shrub.tres","res://src/towers/tower_sprites/tiny_shrub_5.tscn","R8S7","HWE9"
"Xtreme Shrubfield",6,565,1,"gex","common","nature","TRUE","physical",1000,0.9,1360,1360,0,0,2300,1500,0,"FALSE","CREEPS",,,,"MOD_ATK_CRIT_CHANCE,0.0875,0.007|MOD_ATK_CRIT_DAMAGE,0.75,0.07",,,,"res://src/towers/tower_behaviors/tiny_shrub.gd","res://resources/icons/tower_icons/tiny_shrub.tres","res://src/towers/tower_sprites/tiny_shrub_6.tscn","5EHW","VESL"
"Mana-Touched Drake",1,3,3,"SirCoqalot.","rare","astral","TRUE","elemental",950,3,509,609,250,12.5,500,1500,0,"FALSE","CREEPS",,,,"MOD_MANA_REGEN,0,1","1","1",,"res://src/towers/tower_behaviors/mana-touched_drake.gd","res://resources/icons/tower_icons/mana-touched_drake.tres","res://src/towers/tower_sprites/mana-touched_drake_1.tscn","4DYK","2S1C"
"Mana-Bound Drake",2,369,3,"SirCoqalot.","rare","astral","TRUE","elemental",950,3,1207,1307,600,30,1200,1500,0,"FALSE","CREEPS",,,,"MOD_MANA_REGEN,0,2.4","2","2",,"res://src/towers/tower_behaviors/mana-touched_drake.gd","res://resources/icons/tower_icons/mana-touched_drake.tres","res://src/towers/tower_sprites/mana-touched_drake_2.tscn","RAY7","AZCJ"
"Mana-Infused Drake",3,370,3,"SirCoqalot.","rare","astral","TRUE","elemental",950,3,2003,2103,1050,52.5,2100,1500,0,"FALSE","CREEPS",,,,"MOD_MANA_REGEN,0,4.2","3","3",,"res://src/towers/tower_behaviors/mana-touched_drake.gd","res://resources/icons/tower_icons/mana-touched_drake.tres","res://src/towers/tower_sprites/mana-touched_drake_3.tscn","TG85","96D7"
"Mana-Overwhelmed Drake",4,371,3,"SirCoqalot.","rare","astral","TRUE","elemental",950,3,2855,2955,1600,80,3200,1500,0,"FALSE","CREEPS",,,,"MOD_MANA_REGEN,0,6.4","4","4",,"res://src/towers/tower_behaviors/mana-touched_drake.gd","res://resources/icons/tower_icons/mana-touched_drake.tres","res://src/towers/tower_sprites/mana-touched_drake_4.tscn","NHHR","EUYE"
"Necromantic Altar",1,4,4,"Boekie","uncommon","darkness","TRUE","energy",875,1.6,287,287,30,2,300,1500,0.2,"FALSE","CREEPS",,,,,,,"1","res://src/towers/tower_behaviors/necromantic_altar.gd","res://resources/icons/tower_icons/necromantic_altar.tres","res://src/towers/tower_sprites/necromantic_altar_1.tscn","EERU","7KWB"
"Necromantic Statue",2,6,4,"Boekie","uncommon","darkness","TRUE","energy",875,1.6,573,573,30,2,600,1500,0.2,"FALSE","CREEPS",,,,,,,"2","res://src/towers/tower_behaviors/necromantic_altar.gd","res://resources/icons/tower_icons/necromantic_altar.tres","res://src/towers/tower_sprites/necromantic_altar_2.tscn","BGNU","WJ30"
"Necromantic Shrine",3,7,4,"Boekie","uncommon","darkness","TRUE","energy",875,1.6,1146,1146,30,2,1200,1500,0.2,"FALSE","CREEPS",,,,,,,"3","res://src/towers/tower_behaviors/necromantic_altar.gd","res://resources/icons/tower_icons/necromantic_altar.tres","res://src/towers/tower_sprites/necromantic_altar_3.tscn","RRFV","LBPY"
"Necromantic Monument",4,8,4,"Boekie","uncommon","darkness","TRUE","energy",875,1.6,2484,2484,30,2,2600,1500,0.2,"FALSE","CREEPS",,,,,,,"4","res://src/towers/tower_behaviors/necromantic_altar.gd","res://resources/icons/tower_icons/necromantic_altar.tres","res://src/towers/tower_sprites/necromantic_altar_4.tscn","6L5A","QYFH"
"Lunar Sentinel",1,5,5,"SirCoqalot.","uncommon","astral","TRUE","energy",1200,2,17,37,0,0,60,1500,0,"FALSE","CREEPS",,,,,,,"5","res://src/towers/tower_behaviors/lunar_sentinel.gd","res://resources/icons/tower_icons/lunar_sentinel.tres","res://src/towers/tower_sprites/lunar_sentinel_1.tscn","1HIQ","R21W"
"Lunar Guardian",2,49,5,"SirCoqalot.","uncommon","astral","TRUE","energy",1200,2,262,282,0,0,600,1500,0,"FALSE","CREEPS",,,,,,,"6","res://src/towers/tower_behaviors/lunar_sentinel.gd","res://resources/icons/tower_icons/lunar_sentinel.tres","res://src/towers/tower_sprites/lunar_sentinel_2.tscn","4BHR","QFCJ"
"Lunar Protector",3,50,5,"SirCoqalot.","uncommon","astral","TRUE","energy",1200,2,806,826,0,0,1800,1500,0,"FALSE","CREEPS",,,,,,,"7","res://src/towers/tower_behaviors/lunar_sentinel.gd","res://resources/icons/tower_icons/lunar_sentinel.tres","res://src/towers/tower_sprites/lunar_sentinel_3.tscn","MGNM","QDFC"
"Lunar Defender",4,51,5,"SirCoqalot.","uncommon","astral","TRUE","energy",1200,2,1350,1370,0,0,3000,1500,0,"FALSE","CREEPS",,,,,,,"8","res://src/towers/tower_behaviors/lunar_sentinel.gd","res://resources/icons/tower_icons/lunar_sentinel.tres","res://src/towers/tower_sprites/lunar_sentinel_4.tscn","RSA5","TW0C"
