id,tooltip
1,"[color=LIGHT_BLUE]Basic nature tower with a slightly increased chance to critical strike.[/color]
[color=YELLOW]Author:[/color] gex
[color=YELLOW]Element:[/color] [color=32cd32ff]Nature[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]28[/color] DPS, [color=d2b48cff]Physical[/color], [color=GOLD]800[/color] range
 
[color=GOLD]Specials[/color]
[color=GOLD]+0.75%[/color] crit chance ([color=GOLD]+0.2%[/color]/lvl)
"
2,"[color=LIGHT_BLUE]Basic tower with low splash damage[/color]
[color=YELLOW]Author:[/color] geX
[color=YELLOW]Element:[/color] [color=ff4500ff]Fire[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]1218[/color] DPS, [color=6495edff]Elemental[/color], [color=GOLD]900[/color] range
 
[color=GOLD]Splash Attack[/color]
[color=GOLD]190[/color] AoE: [color=GOLD]25%[/color] damage
"
3,"[color=LIGHT_BLUE]Playful Faerie-Dragon that uses mana to its advantage.[/color]
[color=YELLOW]Author:[/color] SirCoqalot.
[color=YELLOW]Element:[/color] [color=66cdaaff]Astral[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]186[/color] DPS, [color=6495edff]Elemental[/color], [color=GOLD]950[/color] range
[color=YELLOW]Mana:[/color] [color=CORNFLOWER_BLUE]250[/color] ([color=CORNFLOWER_BLUE]+12[/color]/sec)
 
[color=GOLD]Specials[/color]
[color=GOLD]+1[/color] mana regen/lvl
 
[color=GOLD]Unstable Energies[/color]
Whenever this tower hits a creep, it has a chance to release a powerful energy blast at the cost of some mana, dealing [color=6495edff]Elemental[/color] damage.
 
[color=GOLD]Mana Distortion Field - Aura[/color]
Whenever a nearby tower attacks, it burns mana from the main target and deals spell damage to it. The mana burn costs the Drake some mana.
"
4,"[color=LIGHT_BLUE]This statue is haunted by lost souls.[/color]
[color=YELLOW]Author:[/color] Boekie
[color=YELLOW]Element:[/color] [color=9370dbff]Darkness[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]179[/color] DPS, [color=1e90ffff]Energy[/color], [color=GOLD]875[/color] range
[color=YELLOW]Mana:[/color] [color=CORNFLOWER_BLUE]30[/color] ([color=CORNFLOWER_BLUE]+2[/color]/sec)
 
[color=GOLD]Soul Revenge[/color]
Hits [color=GOLD]3[/color] random creeps with dark powers, dealing spell damage.

 
Mana cost: [color=GOLD]20[/color], [color=GOLD]875[/color] range, [color=GOLD]1s[/color] cooldown

"
5,"[color=LIGHT_BLUE]The spirit of a watcher left to look over the ruins.[/color]
[color=YELLOW]Author:[/color] SirCoqalot.
[color=YELLOW]Element:[/color] [color=66cdaaff]Astral[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]13[/color] DPS, [color=1e90ffff]Energy[/color], [color=GOLD]1200[/color] range
 
[color=GOLD]Lunar Grace[/color]
Smites a target creep dealing spell damage. There is also a chance to stun the creep and make it more vulnerable to spells.

 
[color=GOLD]1200[/color] range, [color=GOLD]2s[/color] cooldown

"
6,"[color=LIGHT_BLUE]This statue is haunted by lost souls.[/color]
[color=YELLOW]Author:[/color] Boekie
[color=YELLOW]Element:[/color] [color=9370dbff]Darkness[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]358[/color] DPS, [color=1e90ffff]Energy[/color], [color=GOLD]875[/color] range
[color=YELLOW]Mana:[/color] [color=CORNFLOWER_BLUE]30[/color] ([color=CORNFLOWER_BLUE]+2[/color]/sec)
 
[color=GOLD]Soul Revenge[/color]
Hits [color=GOLD]3[/color] random creeps with dark powers, dealing spell damage.

 
Mana cost: [color=GOLD]20[/color], [color=GOLD]875[/color] range, [color=GOLD]1s[/color] cooldown

"
7,"[color=LIGHT_BLUE]This statue is haunted by lost souls.[/color]
[color=YELLOW]Author:[/color] Boekie
[color=YELLOW]Element:[/color] [color=9370dbff]Darkness[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]716[/color] DPS, [color=1e90ffff]Energy[/color], [color=GOLD]875[/color] range
[color=YELLOW]Mana:[/color] [color=CORNFLOWER_BLUE]30[/color] ([color=CORNFLOWER_BLUE]+2[/color]/sec)
 
[color=GOLD]Soul Revenge[/color]
Hits [color=GOLD]3[/color] random creeps with dark powers, dealing spell damage.

 
Mana cost: [color=GOLD]20[/color], [color=GOLD]875[/color] range, [color=GOLD]1s[/color] cooldown

"
8,"[color=LIGHT_BLUE]This statue is haunted by lost souls.[/color]
[color=YELLOW]Author:[/color] Boekie
[color=YELLOW]Element:[/color] [color=9370dbff]Darkness[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]1552[/color] DPS, [color=1e90ffff]Energy[/color], [color=GOLD]875[/color] range
[color=YELLOW]Mana:[/color] [color=CORNFLOWER_BLUE]30[/color] ([color=CORNFLOWER_BLUE]+2[/color]/sec)
 
[color=GOLD]Soul Revenge[/color]
Hits [color=GOLD]3[/color] random creeps with dark powers, dealing spell damage.

 
Mana cost: [color=GOLD]20[/color], [color=GOLD]875[/color] range, [color=GOLD]1s[/color] cooldown

"
9,"[color=LIGHT_BLUE]Fast tower that is focused on dealing damage while cooling itself down.[/color]
[color=YELLOW]Author:[/color] SirCoqalot.
[color=YELLOW]Element:[/color] [color=6495edff]Ice[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]857[/color] DPS, [color=6495edff]Elemental[/color], [color=GOLD]900[/color] range
 
[color=GOLD]Splash Attack[/color]
[color=GOLD]300[/color] AoE: [color=GOLD]35%[/color] damage
 
[color=GOLD]Cold Feet[/color]
On attack this tower decreases its attack speed while increasing its attack damage.
"
10,"[color=LIGHT_BLUE]Fast tower that is focused on dealing damage while cooling itself down.[/color]
[color=YELLOW]Author:[/color] SirCoqalot.
[color=YELLOW]Element:[/color] [color=6495edff]Ice[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]1674[/color] DPS, [color=6495edff]Elemental[/color], [color=GOLD]900[/color] range
 
[color=GOLD]Splash Attack[/color]
[color=GOLD]300[/color] AoE: [color=GOLD]35%[/color] damage
 
[color=GOLD]Cold Feet[/color]
On attack this tower decreases its attack speed while increasing its attack damage.
"
11,"[color=LIGHT_BLUE]Some magic still sparkles inside these ruins.[/color]
[color=YELLOW]Author:[/color] drol
[color=YELLOW]Element:[/color] [color=66cdaaff]Astral[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]49[/color] DPS, [color=6495edff]Elemental[/color], [color=GOLD]700[/color] range
 
[color=GOLD]Illuminate[/color]
Makes hit creeps grant more experience once killed.
"
12,"[color=LIGHT_BLUE]Some magic still sparkles inside these ruins.[/color]
[color=YELLOW]Author:[/color] drol
[color=YELLOW]Element:[/color] [color=66cdaaff]Astral[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]158[/color] DPS, [color=6495edff]Elemental[/color], [color=GOLD]700[/color] range
 
[color=GOLD]Illuminate[/color]
Makes hit creeps grant more experience once killed.
"
13,"[color=LIGHT_BLUE]Some magic still sparkles inside these ruins.[/color]
[color=YELLOW]Author:[/color] drol
[color=YELLOW]Element:[/color] [color=66cdaaff]Astral[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]333[/color] DPS, [color=6495edff]Elemental[/color], [color=GOLD]700[/color] range
 
[color=GOLD]Illuminate[/color]
Makes hit creeps grant more experience once killed.
"
14,"[color=LIGHT_BLUE]Some magic still sparkles inside these ruins.[/color]
[color=YELLOW]Author:[/color] drol
[color=YELLOW]Element:[/color] [color=66cdaaff]Astral[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]697[/color] DPS, [color=6495edff]Elemental[/color], [color=GOLD]700[/color] range
 
[color=GOLD]Illuminate[/color]
Makes hit creeps grant more experience once killed.
"
15,"[color=LIGHT_BLUE]Some magic still sparkles inside these ruins.[/color]
[color=YELLOW]Author:[/color] drol
[color=YELLOW]Element:[/color] [color=66cdaaff]Astral[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]1453[/color] DPS, [color=6495edff]Elemental[/color], [color=GOLD]700[/color] range
 
[color=GOLD]Illuminate[/color]
Makes hit creeps grant more experience once killed.
"
16,"[color=LIGHT_BLUE]Some magic still sparkles inside these ruins.[/color]
[color=YELLOW]Author:[/color] drol
[color=YELLOW]Element:[/color] [color=66cdaaff]Astral[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]2352[/color] DPS, [color=6495edff]Elemental[/color], [color=GOLD]700[/color] range
 
[color=GOLD]Illuminate[/color]
Makes hit creeps grant more experience once killed.
"
