"id","name english","hp modifier","required wave level","frequency","creep sizes","applies only to champions or bosses","group list","uses mana","color","name","short name","description","enabled","icon path"
0,"Speed",-0.2,0,100,"all","FALSE","speed,mshield-speed","FALSE","#ffbbbb","LMZH","BL3Y","JI1D","TRUE","res://resources/icons/fire/burning_cloth.tres"
1,"Greater Speed",-0.33,16,80,"all","FALSE","speed,mshield-speed","FALSE","#ffbbbb","FH49","N47W","3K4Y","TRUE","res://resources/icons/fire/burning_cloth.tres"
2,"Xtreme Speed",-0.3,24,60,"all","FALSE","speed,mshield-speed","FALSE","#ffbbbb","Q79G","HST6","59V2","TRUE","res://resources/icons/fire/burning_cloth.tres"
3,"Slow",0.35,32,80,"all","FALSE","speed,mshield-speed","FALSE","#bbffbb","94WS","C6FD","YCAY","TRUE","res://resources/icons/clubs/club_04_without_handle.tres"
4,"Invisible",-0.075,0,130,"normal,mass,air","FALSE","invis","FALSE","#ffffff","HQCC","OYEE","YT2V","FALSE","res://resources/icons/rings/ring_03.tres"
5,"Strong",0.2,16,100,"normal,mass,air","FALSE","exp,bounty","FALSE","#ffd7bb","IUF1","9NAP","TB32","TRUE","res://resources/icons/misc/red_knight.tres"
6,"Rich",0,0,100,"all","FALSE","exp,bounty","FALSE","#ffd7bb","05NK","1CJ5","IHM3","TRUE","res://resources/icons/misc/gold_cart.tres"
7,"Relic Raider",0,0,100,"all","FALSE","bounty,relic","FALSE","#ffd7bb","98J5","KFPA","LBKD","TRUE","res://resources/icons/swords/greatsword_01.tres"
8,"Ultra Wisdom",0,0,100,"all","FALSE","exp,bounty,relic","FALSE","#ffd7bb","T5S1","8KPI","OSX6","TRUE","res://resources/icons/books/book_07.tres"
9,"Armored",-0.25,0,100,"all","FALSE","armor-spellres","FALSE","#aaaaaa","Q1R9","7P05","JG5G","TRUE","res://resources/icons/armor/chest_plate.tres"
10,"Heavy Armored",-0.35,16,100,"all","FALSE","armor-spellres","FALSE","#999999","RLHE","95NA","3XZL","TRUE","res://resources/icons/armor/chest_plate.tres"
11,"Xtreme Armor",-0.67,32,80,"all","FALSE","armor-spellres,speed","FALSE","#999999","UMP9","DKY6","7WH3","TRUE","res://resources/icons/armor/chest_plate.tres"
12,"Evasion",-0.2,16,140,"all","FALSE","evasion,immune-evasion","FALSE","#e3f988","DD5N","VTFX","57VY","TRUE","res://resources/icons/daggers/dagger_09.tres"
